Temp (c), Acc
(-101)	(-2.98, -3.46, 8.55)	(-29.0, -3.1875, -8.0)	(-0.004363323129985824, 0.014180800172453928, -0.004363323129985824)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(0.07, 0.06, -0.08)	(-3.04, -3.54, 8.620000000000001)	(1693384264.7733753)
(-101)	(-2.99, -3.5, 8.55)	(-28.25, -3.5, -9.5)	(0.00545415391248228, -0.002181661564992912, -0.001090830782496456)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(0.03, 0.03, -0.06)	(-3.04, -3.54, 8.620000000000001)	(1693384264.8014052)
(-101)	(-2.99, -3.47, 8.540000000000001)	(-28.25, -3.5, -9.5)	(0.001090830782496456, 0.00545415391248228, -0.004363323129985824)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(0.02, 0.06, -0.06)	(-3.04, -3.54, 8.620000000000001)	(1693384264.8289194)
(-101)	(-3.0, -3.5, 8.49)	(-29.375, -3.5, -8.75)	(-0.00545415391248228, -0.003272492347489368, 0.003272492347489368)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(0.03, 0.04, -0.09)	(-3.04, -3.54, 8.620000000000001)	(1693384264.856965)
(-101)	(-2.97, -3.48, 8.540000000000001)	(-28.6875, -3.1875, -8.375)	(0.002181661564992912, 0.002181661564992912, -0.004363323129985824)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(0.03, 0.05, -0.1)	(-3.04, -3.54, 8.620000000000001)	(1693384264.8864508)
(27)	(-2.99, -3.5100000000000002, 8.52)	(-28.6875, -3.1875, -8.375)	(0.002181661564992912, -0.00545415391248228, 0.0)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.186279296875, 0.15997314453125, 0.0)	(-0.01, 0.01, -0.06)	(-3.04, -3.54, 8.620000000000001)	(1693384264.9157338)
(27)	(-3.0300000000000002, -3.5, 8.540000000000001)	(-28.25, -3.1875, -8.0)	(-0.002181661564992912, 0.015271630954950384, -0.009817477042468103)	(0.0, -18.0625, 22.3125)	(0.9693603515625, -0.1864013671875, 0.16009521484375, 0.0)	(0.06, 0.06, -0.12)	(-3.04, -3.54, 8.620000000000001)	(1693384264.9458365)
(27)	(-2.98, -3.48, 8.49)	(-28.25, -3.1875, -8.0)	(-0.013089969389957472, 0.007635815477475192, 0.008726646259971648)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.16009521484375, 6.103515625e-05)	(0.05, 0.07, -0.11)	(-3.04, -3.54, 8.620000000000001)	(1693384264.974352)
(-101)	(-3.0100000000000002, -3.5100000000000002, 8.6)	(-28.6875, -3.1875, -9.5)	(0.014180800172453928, 0.004363323129985824, -0.00545415391248228)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.18646240234375, 0.16009521484375, 0.0)	(0.0, 0.02, -0.02)	(-3.04, -3.54, 8.620000000000001)	(1693384265.0032206)
(-101)	(-3.04, -3.52, 8.64)	(-28.6875, -3.1875, -9.5)	(0.004363323129985824, 0.006544984694978736, -0.002181661564992912)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.1864013671875, 0.16009521484375, 0.0)	(0.0, 0.0, 0.0)	(-3.04, -3.54, 8.620000000000001)	(1693384265.028373)
